Cycle #,Range,Mean,Count,Start Index,End Index
1,2.129999999999927e-06,0.002767515,1.0,133,134
2,3.3400000000001137e-06,0.00272872,1.0,150,151
3,6.390000000000215e-06,0.002729835,1.0,311,312
4,1.3369999999999962e-05,0.00273054,1.0,63,64
5,1.360000000000033e-05,0.00273054,1.0,63,64
6,1.516999999999968e-05,0.00273054,1.0,63,64
7,1.6079999999999914e-05,0.00273054,1.0,63,64
8,1.704999999999979e-05,0.00273054,2.0,63,64
9,1.7520000000000036e-05,0.00273054,1.0,63,64
10,2.2630000000000913e-05,0.002808095,1.0,9,10
11,2.3959999999999954e-05,0.002808095,1.0,9,10
12,2.4050000000000286e-05,0.002808095,1.0,9,10
13,2.5380000000000194e-05,0.002808095,1.0,9,10
14,2.8700000000000427e-05,0.002809285,1.0,10,11
15,2.8809999999999773e-05,0.002809285,1.0,10,11
16,3.1429999999999826e-05,0.002747605,1.0,7,8
17,3.578000000000001e-05,0.002747605,1.0,7,8
18,3.622999999999994e-05,0.002747605,1.0,7,8
19,3.737000000000011e-05,0.002747605,1.0,7,8
20,3.791999999999988e-05,0.002747605,1.0,7,8
21,4.094000000000016e-05,0.002747605,1.0,7,8
22,4.652999999999992e-05,0.00279143,1.0,15,16
23,4.91799999999998e-05,0.00279143,1.0,15,16
24,5.119999999999951e-05,0.00279143,1.0,15,16
25,5.230000000000035e-05,0.00279143,1.0,15,16
26,5.275000000000028e-05,0.00279143,1.0,15,16
27,5.4950000000000224e-05,0.00279143,1.0,15,16
28,5.7660000000000176e-05,0.00279143,1.0,15,16
29,7.227000000000058e-05,0.0027744500000000004,1.0,8,9
30,8.245999999999991e-05,0.0027744500000000004,1.0,8,9
31,8.386000000000027e-05,0.0027744500000000004,1.0,8,9
32,8.717000000000013e-05,0.0027744500000000004,1.0,8,9
33,8.880999999999993e-05,0.0027744500000000004,1.0,8,9
34,9.252000000000002e-05,0.0027744500000000004,1.0,8,9
35,9.320999999999982e-05,0.0027744500000000004,1.0,8,9
36,9.515999999999995e-05,0.0027744500000000004,1.0,8,9
37,9.560000000000037e-05,0.0027744500000000004,1.0,8,9
38,9.564000000000013e-05,0.0027744500000000004,1.0,8,9
39,9.905000000000027e-05,0.0027744500000000004,1.0,8,9
40,9.908000000000009e-05,0.0027744500000000004,1.0,8,9
41,0.00010939000000000001,0.0027668700000000003,1.0,21,22
42,0.00011601000000000016,0.0027668700000000003,1.0,21,22
43,0.00011618000000000045,0.0027668700000000003,1.0,21,22
44,0.0001175600000000005,0.0027668700000000003,1.0,21,22
45,0.00011853999999999988,0.0027668700000000003,1.0,21,22
46,0.00012589999999999954,0.00273651,1.0,29,31
47,0.00012627999999999945,0.00273651,1.0,29,31
48,0.00013276,0.0028015650000000002,1.0,24,25
49,0.00013347000000000012,0.0028015650000000002,1.0,24,25
50,0.00014969000000000007,0.0028008900000000003,1.0,22,24
51,0.00015247000000000004,0.0028008900000000003,1.0,22,24
52,0.00015311000000000014,0.0028008900000000003,1.0,22,24
53,0.00015833999999999987,0.0028008900000000003,1.0,22,24
54,0.00016011000000000063,0.0028008900000000003,1.0,22,24
55,0.00016589000000000013,0.0028008900000000003,1.0,22,24
56,0.00017610000000000065,0.0028008900000000003,1.0,22,24
57,0.00018648000000000015,0.0028008900000000003,1.0,22,24
58,0.0001952500000000001,0.0028008900000000003,1.0,22,24
59,0.00022375,0.0027527000000000003,1.0,51,53
60,0.00022605000000000064,0.0027527000000000003,1.0,51,53
61,0.0003150599999999998,0.0027673,1.0,268,269
62,0.00034986,0.002596185,1.0,193,196
63,0.0003694099999999997,0.002596185,1.0,193,196
64,0.0003992500000000003,0.002568965,1.0,106,109
65,0.00047183000000000034,0.002568965,1.0,106,109
66,0.0005018700000000006,0.002568965,1.0,106,109
67,0.00056521,0.00247024,1.0,2,4
68,0.0005748199999999998,0.0025037199999999996,1.0,0,2
69,0.00057632,0.0025037199999999996,1.0,0,2
70,0.0005997300000000006,0.0025037199999999996,1.0,0,2
71,0.0006247499999999999,0.0025037199999999996,1.0,0,2
72,0.0006480399999999999,0.0025037199999999996,1.0,0,2
73,0.0006642699999999998,0.0025037199999999996,1.0,0,2
74,0.0006669600000000003,0.0025037199999999996,1.0,0,2
75,0.0007028,0.0025037199999999996,1.0,0,2
76,0.0007031999999999997,0.0025037199999999996,1.0,0,2
77,0.0007050200000000002,0.0025037199999999996,1.0,0,2
78,0.0007429700000000008,0.0025037199999999996,1.0,0,2
79,0.00075186,0.0025037199999999996,1.0,0,2
80,0.0007624100000000007,0.0025037199999999996,1.0,0,2
81,0.0007636800000000001,0.0025037199999999996,1.0,0,2
82,0.0007649699999999998,0.0025037199999999996,1.0,0,2
83,0.0007688899999999999,0.0025037199999999996,1.0,0,2
84,0.0007737,0.0025037199999999996,1.0,0,2
85,0.0007920900000000001,0.0025037199999999996,1.0,0,2
